"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",18/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,8,8,204,,0,0,0,,8,8,204
2,,4,4,139,,0,0,0,,4,4,139
3,,5,5,95,,0,0,0,,5,5,95
4,,1,1,93,,0,0,0,,1,1,93
5,,9,9,124,,0,0,0,,9,9,124
6,,23,23,134,,0,0,0,,23,23,134
7,,241,241,117,,0,0,0,,241,241,117
8,,325,325,114,,0,0,0,,325,325,114
9,*,796,796,71,+,0,0,0,#,796,796,71
10,,211,211,142,,0,0,0,,211,211,142
11,,81,81,152,,0,0,0,,81,81,152
12,,42,42,178,,0,0,0,,42,42,178
13,,26,26,169,,0,0,0,,26,26,169
14,,29,29,197,,0,0,0,,29,29,197
15,,26,26,144,,0,0,0,,26,26,144
16,,25,25,213,,0,0,0,,25,25,213
17,,23,23,165,,0,0,0,,23,23,165
18,,23,23,201,,0,0,0,,23,23,201
19,,19,19,124,,0,0,0,,19,19,124
20,,18,18,137,,0,0,0,,18,18,137
21,,16,16,109,,0,0,0,,16,16,109
22,,33,33,176,,0,0,0,,33,33,176
23,,44,44,141,,0,0,0,,44,44,141
24,,10,10,162,,0,0,0,,10,10,162
Total,,=sum(C7:C30),=sum(D7:D30),"=Round(SUMPRODUCT(D7:D30,E7:E30)/D31)",,=sum(G7:G30),=sum(H7:H30),=sum(I7:I30),,=sum(K7:K30),=sum(L7:L30),"=Round(SUMPRODUCT(L7:L30,M7:M30)/L31)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",19/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,4,4,164,,0,0,0,,4,4,164
2,,9,9,165,,0,0,0,,9,9,165
3,,1,1,218,,0,0,0,,1,1,218
4,,6,6,134,,0,0,0,,6,6,134
5,,4,4,161,,0,0,0,,4,4,161
6,,10,10,174,,0,0,0,,10,10,174
7,,27,27,169,,0,0,0,,27,27,169
8,,59,59,187,,0,0,0,,59,59,187
9,*,223,223,141,+,0,0,0,#,223,223,141
10,,60,60,143,,0,0,0,,60,60,143
11,,58,58,155,,0,0,0,,58,58,155
12,,34,34,124,,0,0,0,,34,34,124
13,,29,29,205,,0,0,0,,29,29,205
14,,34,34,193,,0,0,0,,34,34,193
15,,36,36,188,,0,0,0,,36,36,188
16,,50,50,199,,0,0,0,,50,50,199
17,,56,56,159,,0,0,0,,56,56,159
18,,110,110,178,,0,0,0,,110,110,178
19,,111,111,143,,0,0,0,,111,111,143
20,,23,23,113,,0,0,0,,23,23,113
21,,19,19,191,,0,0,0,,19,19,191
22,,27,27,142,,0,0,0,,27,27,142
23,,16,16,195,,0,0,0,,16,16,195
24,,10,10,148,,0,0,0,,10,10,148
Total,,=sum(C46:C69),=sum(D46:D69),"=Round(SUMPRODUCT(D46:D69,E46:E69)/D70)",,=sum(G46:G69),=sum(H46:H69),=sum(I46:I69),,=sum(K46:K69),=sum(L46:L69),"=Round(SUMPRODUCT(L46:L69,M46:M69)/L70)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",20/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,6,6,302,,0,0,0,,6,6,302
2,,9,9,136,,0,0,0,,9,9,136
3,,6,6,139,,0,0,0,,6,6,139
4,,1,1,36,,0,0,0,,1,1,36
5,,2,2,173,,0,0,0,,2,2,173
6,,12,12,221,,0,0,0,,12,12,221
7,,27,27,224,,0,0,0,,27,27,224
8,,88,88,143,,0,0,0,,88,88,143
9,*,244,244,129,+,0,0,0,#,244,244,129
10,,53,53,179,,0,0,0,,53,53,179
11,,46,46,156,,0,0,0,,46,46,156
12,,50,50,163,,0,0,0,,50,50,163
13,,57,57,116,,0,0,0,,57,57,116
14,,37,37,167,,0,0,0,,37,37,167
15,,27,27,133,,0,0,0,,27,27,133
16,,38,38,99,,0,0,0,,38,38,99
17,,35,35,154,,0,0,0,,35,35,154
18,,50,50,162,,0,0,0,,50,50,162
19,,34,34,113,,0,0,0,,34,34,113
20,,23,23,151,,0,0,0,,23,23,151
21,,14,14,174,,0,0,0,,14,14,174
22,,29,29,204,,0,0,0,,29,29,204
23,,33,33,128,,0,0,0,,33,33,128
24,,10,10,92,,0,0,0,,10,10,92
