"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",25/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,16,16,116,,0,0,0,,16,16,116
2,,2,2,170,,0,0,0,,2,2,170
3,,2,2,52,,0,0,0,,2,2,52
4,,2,2,242,,0,0,0,,2,2,242
5,,6,6,150,,0,0,0,,6,6,150
6,,5,5,296,,0,0,0,,5,5,296
7,,78,78,151,,0,0,0,,78,78,151
8,,118,118,162,,0,0,0,,118,118,162
9,*,200,200,165,+,0,0,0,#,200,200,165
10,,70,70,143,,0,0,0,,70,70,143
11,,24,24,140,,0,0,0,,24,24,140
12,,26,26,197,,0,0,0,,26,26,197
13,,43,43,155,,0,0,0,,43,43,155
14,,35,35,131,,0,0,0,,35,35,131
15,,30,30,135,,0,0,0,,30,30,135
16,,29,29,130,,0,0,0,,29,29,130
17,,24,24,173,,0,0,0,,24,24,173
18,,35,35,154,,0,0,0,,35,35,154
19,,29,29,133,,0,0,0,,29,29,133
20,,12,12,152,,0,0,0,,12,12,152
21,,23,23,184,,0,0,0,,23,23,184
22,,27,27,135,,0,0,0,,27,27,135
23,,22,22,120,,0,0,0,,22,22,120
24,,12,12,167,,0,0,0,,12,12,167
Total,,=sum(C7:C30),=sum(D7:D30),"=Round(SUMPRODUCT(D7:D30,E7:E30)/D31)",,=sum(G7:G30),=sum(H7:H30),=sum(I7:I30),,=sum(K7:K30),=sum(L7:L30),"=Round(SUMPRODUCT(L7:L30,M7:M30)/L31)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",26/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,9,9,97,,0,0,0,,9,9,97
2,,4,4,65,,0,0,0,,4,4,65
3,,0,0,0,,0,0,0,,0,0,0
4,,1,1,194,,0,0,0,,1,1,194
5,,4,4,200,,0,0,0,,4,4,200
6,,4,4,189,,0,0,0,,4,4,189
7,,21,21,164,,0,0,0,,21,21,164
8,,43,43,125,,0,0,0,,43,43,125
9,*,149,149,140,+,0,0,0,#,149,149,140
10,,39,39,139,,0,0,0,,39,39,139
11,,25,25,155,,0,0,0,,25,25,155
12,,33,33,153,,0,0,0,,33,33,153
